"metric_id","rule_id","metric_name","indicator","value"
1,1,"Pearson correlation","time_sec",0
1,1,"Pearson correlation","memory_delta_gc_units",506
1,1,"Pearson correlation","model_object_size_bytes",21912
1,1,"Pearson correlation","tanimoto_distance",1
1,1,"Pearson correlation","pct_true_influencing_found",0
1,1,"Pearson correlation","pct_true_noninfluencing_found",84.2105263157895
1,1,"Pearson correlation","pct_missing_influencing",100
1,1,"Pearson correlation","pct_included_noninfluencing",15.7894736842105
1,1,"Pearson correlation","n_selected",3
1,2,"Pearson correlation","time_sec",0
1,2,"Pearson correlation","memory_delta_gc_units",728
1,2,"Pearson correlation","model_object_size_bytes",30760
1,2,"Pearson correlation","tanimoto_distance",0.777777777777778
1,2,"Pearson correlation","pct_true_influencing_found",50
1,2,"Pearson correlation","pct_true_noninfluencing_found",73.6842105263158
1,2,"Pearson correlation","pct_missing_influencing",50
1,2,"Pearson correlation","pct_included_noninfluencing",26.3157894736842
1,2,"Pearson correlation","n_selected",7
1,3,"Pearson correlation","time_sec",0
1,3,"Pearson correlation","memory_delta_gc_units",506
1,3,"Pearson correlation","model_object_size_bytes",21912
1,3,"Pearson correlation","tanimoto_distance",1
1,3,"Pearson correlation","pct_true_influencing_found",0
1,3,"Pearson correlation","pct_true_noninfluencing_found",84.2105263157895
1,3,"Pearson correlation","pct_missing_influencing",100
1,3,"Pearson correlation","pct_included_noninfluencing",15.7894736842105
1,3,"Pearson correlation","n_selected",3
1,4,"Pearson correlation","time_sec",0.00999999999999091
1,4,"Pearson correlation","memory_delta_gc_units",345
1,4,"Pearson correlation","model_object_size_bytes",14712
1,4,"Pearson correlation","tanimoto_distance",1
1,4,"Pearson correlation","pct_true_influencing_found",0
1,4,"Pearson correlation","pct_true_noninfluencing_found",100
1,4,"Pearson correlation","pct_missing_influencing",100
1,4,"Pearson correlation","pct_included_noninfluencing",0
1,4,"Pearson correlation","n_selected",0
1,5,"Pearson correlation","time_sec",0
1,5,"Pearson correlation","memory_delta_gc_units",1005
1,5,"Pearson correlation","model_object_size_bytes",40376
1,5,"Pearson correlation","tanimoto_distance",0.75
1,5,"Pearson correlation","pct_true_influencing_found",75
1,5,"Pearson correlation","pct_true_noninfluencing_found",57.8947368421053
1,5,"Pearson correlation","pct_missing_influencing",25
1,5,"Pearson correlation","pct_included_noninfluencing",42.1052631578947
1,5,"Pearson correlation","n_selected",11
2,1,"Spearman correlation","time_sec",0
2,1,"Spearman correlation","memory_delta_gc_units",506
2,1,"Spearman correlation","model_object_size_bytes",21912
2,1,"Spearman correlation","tanimoto_distance",1
2,1,"Spearman correlation","pct_true_influencing_found",0
2,1,"Spearman correlation","pct_true_noninfluencing_found",84.2105263157895
2,1,"Spearman correlation","pct_missing_influencing",100
2,1,"Spearman correlation","pct_included_noninfluencing",15.7894736842105
2,1,"Spearman correlation","n_selected",3
2,2,"Spearman correlation","time_sec",0
2,2,"Spearman correlation","memory_delta_gc_units",636
